"ACCT_ITEM_TYPE_ID","ACCT_ITEM_CLASS_ID","ACCOUNT_TYPE_ID","NAME","CHARGE_MARK","TOTAL_MARK","ACCOUNT_ITEM_TYPE_CODE","PAY_FLAG","MODIFIER","UPDATE_TIME"
"129","3","64","自主漫游测试卡出访","0","1","100000129","D","system","2017/3/14 14:05:37"
"317","3","84","ctog数据澳门出访调整","0","1","100000148","C","system","2018/10/9 15:26:15"
"315","3","82","ctog话音澳门出访调整","0","1","100000146","C","system","2018/10/9 15:26:22"
"316","3","83","ctog短信澳门出访调整","0","1","100000147","C","system","2018/10/9 15:26:28"
"137","6","87","MVNO收入对方调整","0","1","100000385","C","system","2018/10/19 17:49:51"
"138","6","88","MVNO支出对方调整","0","1","100000386","D","system","2018/10/19 17:49:51"
"135","6","85","MVNO收入对方","0","1","100000385","C","system","2018/10/19 17:49:50"
"136","6","86","MVNO支出对方","0","1","100000386","D","system","2018/10/19 17:49:51"
"130","6","65","MVNO收入","0","1","100000130","C","system","2017/11/8 14:04:03"
"131","6","66","MVNO支出","0","1","100000131","D","system","2017/11/8 14:04:03"
"318","7","89","国际短信来向","0","1","100000149","C","system","2018/12/20 14:27:00"
"319","7","90","国际短信来向调整","0","1","100000150","C","system","2018/12/20 14:27:00"
"320","7","91","国际短信去向","0","1","100000151","D","system","2018/12/20 14:27:00"
"321","7","92","国际短信去向调整","0","1","100000152","D","system","2018/12/20 14:27:00"
"305","1","72","国际对方去向","0","1","100000136","D","system","2018/3/30 15:33:19"
"306","1","73","国际对方去向承诺","0","1","100000137","D","system","2018/3/30 15:33:19"
"307","1","74","国际对方去向调整","0","1","100000138","D","system","2018/3/30 15:33:19"
"308","1","75","国际对方去向承诺调整","0","1","100000139","D","system","2018/3/30 15:33:19"
"100","3","67","前海卡服务费","0","1","100000100","D","admin","2017/8/7 13:58:19"
"309","3","76","ctog话音国际出访调整","0","1","100000140","D","system","2018/7/20 17:07:29"
"310","3","77","ctog短信国际出访调整","0","1","100000141","D","system","2018/7/20 17:07:29"
"311","3","78","ctog数据国际出访调整","0","1","100000142","D","system","2018/7/20 17:07:29"
"312","3","79","LTE漫入调整","0","1","100000143","C","system","2018/7/20 17:07:29"
"313","3","80","LTE漫出调整","0","1","100000144","D","system","2018/7/20 17:07:29"
"314","3","81","自主漫游测试卡出访调整","0","1","100000145","D","system","2018/7/20 17:07:29"
"204","3","63","ctg服务费收入","0","1","100000105","C","system","2009/4/17 14:08:03"
"205","1","6","国际来向欧洲增值税","0","1","100000078","C","admin","2015/4/13"
"97","3","46","国际漫游短信出访调整","0","1","100000097","D","admin","2013/6/25 16:54:03"
"98","3","44","国际cdma1x出访调整","0","1","100000098","D","admin","2013/6/25 16:57:31"
"99","3","42","国际移动话音出访调整","0","1","100000099","D","admin","2013/6/25 16:58:38"
"288","3","41","国际移动话音来访调整","0","1","100000129","C","admin","2015/12/16 9:13:38"
"289","3","43","国际cdma1x来访调整","0","1","100000130","C","admin","2015/12/16 9:14:52"
"290","3","45","国际漫游短信来访调整","0","1","100000131","C","admin","2015/12/16 9:14:52"
"121","3","6","WLAN来向","0","1","100000026","C","admin","2014/1/21 11:32:21"
"120","3","1","WLAN去向","0","1","100000027","D","admin","2014/1/21 11:28:54"
"1","1","1","国际去向","0","1","100000001","D","system","2008/3/26 20:26:04"
"2","1","4","国际去向Hubbing","0","1","100000002","D","system","2008/3/26 20:26:04"
"3","1","6","国际来向","0","1","100000003","C","system","2008/3/26 20:26:05"
"4","1","5","国际转来向Hubbing","0","1","100000004","C","system","2008/3/26 20:26:05"
"5","1","2","国际去向承诺","0","1","100000005","D","system","2008/3/26 20:26:05"
"6","1","7","国际来向承诺","0","1","100000006","C","system","2008/3/26 20:26:05"
"7","1","3","国际去向承诺冲销","0","1","100000007","D","system","2008/3/26 20:26:05"
"8","1","8","国际来向承诺冲销","0","1","100000008","C","system","2008/3/26 20:26:05"
"10","1","9","国际对方去向Hubbing","0","1","100000010","D","system","2008/3/26 20:26:05"
"11","1","11","国际对方来向","0","1","100000011","C","system","2008/3/26 20:26:05"
"12","1","10","国际对方转向Hubbing","0","1","100000012","C","system","2008/3/26 20:26:05"
"13","1","12","国际对方来向承诺","0","1","100000013","C","system","2008/3/26 20:26:05"
"15","1","1","国际去向调整","0","1","100000015","D","system","2008/3/26 20:26:05"
"16","1","4","国际去向Hubbing调整","0","1","100000016","D","system","2008/3/26 20:26:05"
"17","1","6","国际来向调整","0","1","100000017","C","system","2008/3/26 20:26:05"
"18","1","5","国际转来向Hubbing调整","0","1","100000018","C","system","2008/3/26 20:26:05"
"19","1","2","国际去向承诺调整","0","1","100000019","D","system","2008/3/26 20:26:05"
"20","1","7","国际来向承诺调整","0","1","100000020","C","system","2008/3/26 20:26:05"
"22","1","9","国际对方去向Hubbing调整","0","1","100000022","D","system","2008/3/26 20:26:05"
