"GEN_ID","REF_NO","CUST_ID","START_DATE","END_DATE","ACCT_ITEM_TYPE","ACCT_FLAG","ACCT_DATE","STATE","PAY_FLAG","PAY_TYPE","COMMENTS","DEP_ABBR","PAYMENT_STATE","BUREAU_ID"
"13848","GTRS1HKG20-02/11-XXX","3381","201102","201102","网元去向","1","20110406","2","C","3","网元自动出帐单","XXX","2","1"
"13849","GCAS1HKG15-02/11-FIN","665","201102","201102","网元去向","1","20110406","2","C","3","网元自动出帐单","FIN","2","1"
"13850","GCAS1HKG18-02/11-XXX","7354","201102","201102","网元去向","1","20110406","2","C","3","网元自动出帐单","XXX","2","1"
"13852","GCAS1TAI05-02/11-CAS","366","201102","201102","网元去向","1","20110406","2","C","3","网元自动出帐单","CAS","2","1"
"13853","GTRS1KAZ02-02/11-TRS","660","201102","201102","网元去向","1","20110406","2","C","3","网元自动出帐单","TRS","2","1"
"13854","GCCL1UK_01-02/11-001","283","201102","201102","网元去向","1","20110406","2","C","3","网元自动出帐单","001","2","1"
"13855","GCCL1USA02-02/11-XXX","289","201102","201102","网元去向","1","20110406","2","C","3","网元自动出帐单","XXX","2","1"
"13856","GTRS1USA02-02/11-XXX","289","201102","201102","网元去向","1","20110406","2","C","3","网元自动出帐单","XXX","2","1"
"13857","GCAS1HKG08-02/11-002","403","201102","201102","网元去向","1","20110406","2","C","3","网元自动出帐单","002","2","1"
"13858","GCAS1HKG08-02/11-FIN","403","201102","201102","网元去向","1","20110406","2","C","3","网元自动出帐单","FIN","2","1"
"13859","GCAS2HKG08-02/11-FIN","403","201102","201102","网元去向","1","20110406","2","C","3","网元自动出帐单","FIN","2","1"
"13860","GTRS1UK_08-03/11-001","657","201103","201103","网元去向","1","20110406","0","C","3","网元自动出帐单","001","0","1"
"13861","GCAS1HKG14-03/11-001","649","201103","201103","网元去向","1","20110406","1","C","3","网元自动出帐单","001","1","1"
"13862","GTRS1HKG14-03/11-001","649","201103","201103","网元去向","1","20110406","0","C","3","网元自动出帐单","001","0","1"
"13863","GTRS1MAC02-03/11-XXX","7463","201103","201103","网元去向","1","20110406","2","C","3","网元自动出帐单","XXX","2","1"
"13864","GTRS1USA41-03/11-001","561","201103","201103","网元去向","1","20110406","2","C","3","网元自动出帐单","001","2","1"
"13910","PIAP1GER01-05/10-EUR","99","201005","201102","网元对方来向","1","20110412","2","D","3","网元自动出帐单","EUR","2","1"
"13866","GTRS1KAZ01-03/11-XXX","147","201103","201103","网元去向","1","20110406","2","C","3","网元自动出帐单","XXX","2","1"
"13867","GITS1MGL02-03/11-XXX","7626","201103","201103","网元去向","1","20110406","2","C","3","网元自动出帐单","XXX","2","1"
"13868","GTRS1HKG20-03/11-XXX","3381","201103","201103","网元去向","1","20110406","2","C","3","网元自动出帐单","XXX","2","1"
"13869","GCAS1HKG15-03/11-FIN","665","201103","201103","网元去向","1","20110406","2","C","3","网元自动出帐单","FIN","2","1"
"13870","GCAS1HKG18-03/11-XXX","7354","201103","201103","网元去向","1","20110406","2","C","3","网元自动出帐单","XXX","2","1"
"13872","GCAS1TAI05-03/11-CAS","366","201103","201103","网元去向","1","20110406","0","C","3","网元自动出帐单","CAS","0","1"
"13873","GTRS1KAZ02-03/11-TRS","660","201103","201103","网元去向","1","20110406","2","C","3","网元自动出帐单","TRS","2","1"
"13874","GCCL1UK_01-03/11-001","283","201103","201103","网元去向","1","20110406","2","C","3","网元自动出帐单","001","2","1"
"13875","GCCL1USA02-03/11-XXX","289","201103","201103","网元去向","1","20110406","2","C","3","网元自动出帐单","XXX","2","1"
"13876","GTRS1USA02-03/11-XXX","289","201103","201103","网元去向","1","20110406","2","C","3","网元自动出帐单","XXX","2","1"
"13877","GCAS1HKG08-03/11-002","403","201103","201103","网元去向","1","20110406","2","C","3","网元自动出帐单","002","2","1"
"13878","GCAS1HKG08-03/11-FIN","403","201103","201103","网元去向","1","20110406","2","C","3","网元自动出帐单","FIN","2","1"
"13879","GCAS2HKG08-03/11-FIN","403","201103","201103","网元去向","1","20110406","2","C","3","网元自动出帐单","FIN","2","1"
"13882","PCCS1RUS01-04/11-07Y","227","201104","201104","网元对方来向","1","20110406","2","D","3","网元自动出帐单","07Y","2","1"
"13891","CCCS1USA54-02/11-USD","667","201102","201102","网元来向","1","20110411","2","D","3","网元自动出帐单","USD","2","1"
"13892","CIAP1SWE01-03/11-XXX","259","201103","201103","网元来向","1","20110411","2","D","3","网元自动出帐单","XXX","2","1"
"13893","PCCL1HKG14-03/11-HKD","649","201103","201103","网元对方来向","1","20110411","2","D","3","网元自动出帐单","HKD","2","1"
"13894","PCCL2HKG14-03/11-HKD","649","201103","201103","网元对方来向","1","20110411","2","D","3","网元自动出帐单","HKD","2","1"
"13896","PCCS1UK_08-01/11-S55","657","201101","201101","网元对方来向","1","20110412","2","D","3","网元自动出帐单","S55","2","1"
"13897","PCCS1UK_08-03/11-S55","657","201103","201103","网元对方来向","1","20110412","2","D","3","网元自动出帐单","S55","2","1"
